from_station_id,(All),,,
date,(All),,,
,,,,
Row Labels,Sum of tripduration,Min of tripduration3,Max of tripduration2,Average of tripduration2
12th Ave & E Denny Way,235840.484,87.395,11379.639,560.1911734
Oct,24638.662,87.597,1657.265,391.089873
Aug,128777.353,87.395,4302.634,647.1223769
Sep,82424.469,89.211,11379.639,518.3928868
12th Ave & E Mercer St,591526.787,76.181,12871.344,717.0021661
Aug,233826.792,76.181,3073.768,669.990808
Sep,243321.392,115.539,8557.495,715.6511529
Oct,114378.603,142.705,12871.344,841.0191397
12th Ave & E Yesler Way,208224.773,189.868,21590.655,946.4762409
Sep,55098.836,189.868,3101.636,612.2092889
Oct,22657.484,229.605,5046.027,755.2494667
Aug,130468.453,225.865,21590.655,1304.68453
12th Ave & NE Campus Pkwy,990191.331,71.631,26773.325,2276.30191
Oct,88746.861,227.443,6857.886,1643.460389
Aug,506842.626,71.631,24275.89,2252.633893
Sep,394601.844,88.008,26773.325,2529.499
15th Ave E & E Thomas St,827413.623,60.438,25001.486,948.8688337
Oct,69847.705,166.789,7006.156,629.2586036
Sep,305783.514,142.927,21618.19,918.2688108
Aug,451782.404,60.438,25001.486,1055.566364
15th Ave NE & NE 40th St,585826.472,73.704,25955.443,2194.106637
Oct,66361.453,150.097,13878.181,1896.041514
Aug,358214.32,73.918,15970.968,2614.703066
Sep,161250.699,73.704,25955.443,1697.375779
1st Ave & Marion St,858777.094,142.207,27588.145,1467.995032
Oct,71456.395,212.401,4377.338,850.671369
Sep,288145.492,142.207,18199.488,1180.924148
Aug,499175.207,166.243,27588.145,1942.315981
2nd Ave & Blanchard St,969111.659,73.917,25091.48,1215.949384
Oct,90112.204,171.694,6603.478,1035.77246
Aug,534696.857,73.917,22866.001,1300.965589
Sep,344302.598,122.418,25091.48,1151.513706
2nd Ave & Pine St,1296213.163,61.135,26474.268,1106.928406
Oct,90536.47,61.135,6719.196,701.8331008
Aug,614496.061,106.911,21395.694,1034.505153
Sep,591180.632,96.761,26474.268,1319.599625
2nd Ave & Spring St,796382.213,60.452,26405.35,1181.575984
Sep,299281.807,129.873,17785.513,1268.14325
Oct,140817.827,150.804,19037.324,1637.416593
Aug,356282.579,60.452,26405.35,1012.166418
2nd Ave & Vine St,1091802.504,62.791,24055.95,1102.830812
Oct,131384.407,162.052,9470.889,1094.870058
Aug,593489.396,62.791,23614.297,1136.952866
Sep,366928.701,95.322,24055.95,1054.392819
3rd Ave & Broad St,2238487.891,61.741,23225.023,1349.299512
Aug,1237635.966,61.741,15128.258,1417.681519
Oct,238925.265,186.328,21006.505,1244.402422
Sep,761926.66,66.862,23225.023,1282.704815
6th Ave & Blanchard St,354162.801,89.296,6992.472,632.4335732
Sep,122544.981,97.333,3840.063,564.7234147
Aug,172391.268,89.296,5946.641,712.3606116
Oct,59226.552,90.213,6992.472,586.401505
6th Ave S & S King St,490814.26,70.858,27854.538,1680.870753
Sep,205618.55,98.109,13675.642,1631.893254
Oct,42025.174,397.392,16576.406,1827.181478
Aug,243170.536,70.858,27854.538,1700.493259
7th Ave & Union St,798494.674,90.932,18454.189,1512.300519
Oct,49611.061,167.374,4395.052,751.6827424
Sep,332945.16,90.932,18230.684,1486.362321
Aug,415938.453,176.096,18454.189,1747.640559
9th Ave N & Mercer St,652018.263,67.376,25262.379,1031.674467
Oct,65216.234,203.067,5432.598,858.1083421
Sep,240237.555,67.376,17723.981,1035.506703
Aug,346564.474,68.563,25262.379,1069.643438
Bellevue Ave & E Pine St,630592.756,86.211,13032.331,764.3548558
Oct,61735.176,135.906,2069.574,551.2069286
Sep,232649.768,122.742,10357.235,755.3563896
Aug,336207.812,86.211,13032.331,830.1427457
Burke Museum / E Stevens Way NE & Memorial Way NE,602297.39,129.132,24125.661,3220.841658
Oct,52689.792,212.074,12180.11,1951.473778
Aug,314382.232,172.344,21602.8,3417.198174
Sep,235225.366,129.132,24125.661,3459.196559
Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,1296559.541,66.061,24806.801,2980.596646
Sep,420569.396,76.004,14949.854,2900.478593
Oct,159954.826,429.582,16296.593,3403.29417
Aug,716035.319,66.061,24806.801,2946.647403
Cal Anderson Park / 11th Ave & Pine St,894414.3,64.289,26381.359,705.3740536
Oct,127962.859,73.512,9212.374,659.602366
Sep,327534.512,101.7,12747.682,678.1252836
Aug,438916.929,64.289,26381.359,742.6682386
Children's Hospital / Sandpoint Way NE & 40th Ave NE,546633.75,83.795,28605.309,3333.132622
Oct,25654.261,400.061,5813.233,1603.391313
Aug,381006.022,407.175,22625.077,4535.785976
Sep,139973.467,83.795,28605.309,2187.085422
City Hall / 4th Ave & James St,421496.106,99.118,20696.799,1008.36389
Oct,40148.513,146.162,4018.85,757.5191132
Sep,145179.355,150.736,8589.318,955.1273355
Aug,236168.238,99.118,20696.799,1108.77107
Dexter Ave & Denny Way,700535.966,60.486,27758.749,1403.879691
Oct,45687.755,61.112,5640.166,1038.358068
Aug,305764.234,63.406,15856.138,1227.968811
Sep,349083.977,60.486,27758.749,1694.582413
Dexter Ave N & Aloha St,846397.322,61.993,15689.022,1074.108277
Oct,75296.193,121.677,4438.808,760.5676061
Sep,258577.483,61.993,7048.671,870.6312559
Aug,512523.646,86.694,15689.022,1307.458281
E Blaine St & Fairview Ave E,680509.038,69.377,12404.198,1157.328296
Oct,82670.795,143.735,4813.196,996.0336747
Sep,255438.988,69.377,9047.579,1210.611318
Aug,342399.255,90.954,12404.198,1164.623316
E Harrison St & Broadway Ave E,803054.836,88.475,23970.149,747.723311
Oct,107201.864,95.063,5991.642,641.9273293
Aug,395649.174,88.475,12725.185,792.8841162
Sep,300203.798,93.895,23970.149,735.7936225
E Pine St & 16th Ave,948721.665,82.944,23132.197,739.4557015
Oct,98285.192,115.561,6057.191,555.2835706
Sep,335237.941,86.728,6643.502,675.8829456
Aug,515198.532,82.944,23132.197,844.5877574
Eastlake Ave E & E Allison St,856270.84,67.489,28794.398,1776.495519
Oct,65253.767,67.489,3808.527,1105.996051
Sep,323617.337,115.647,16098.364,1768.400749
Aug,467399.736,142.398,28794.398,1947.4989
Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,674733.034,66.273,13236.082,1457.306769
Aug,363059.587,94.662,8191.764,1391.0329
Sep,222512.526,72.728,8322.206,1463.898197
Oct,89160.921,66.273,13236.082,1783.21842
Frye Art Museum / Terry Ave & Columbia St,357281.735,280.448,8312.674,873.5494743
Aug,178829.066,283.104,4762.506,951.2184362
Oct,62386.982,313.445,7466.839,878.6898873
Sep,116065.687,280.448,8312.674,773.7712467
Harvard Ave & E Pine St,614692.061,60.645,18082.649,896.0525671
Oct,59028.198,109.031,3501.738,719.8560732
Sep,190358.109,60.645,7595.97,682.287129
Aug,365305.754,70.812,18082.649,1124.017705
Key Arena / 1st Ave N & Harrison St,1324467.699,142.601,16852.822,1273.526634
Oct,140607.977,169.164,11945.761,1073.343336
Sep,456947.95,167.7,15496.899,1272.835515
Aug,726911.772,142.601,16852.822,1321.657767
King Street Station Plaza / 2nd Ave Extension S & S Jackson St,606703.452,61.257,23371.534,1189.614612
Oct,58827.352,179.362,1967.236,964.3828197
Aug,332157.457,61.257,10820.635,1297.490066
Sep,215718.643,93.436,23371.534,1117.713176
Lake Union Park / Valley St & Boren Ave N,1494547.148,73.701,26623.043,1961.347963
Oct,141509.018,111.537,22266.594,1704.927928
Sep,526323.625,100.829,24061.615,1978.660244
Aug,826714.505,73.701,26623.043,2001.730036
Mercer St & 9th Ave N,127123.302,91.227,8045.131,1629.785923
Oct,59891.127,146.021,5746.263,1274.279298
Sep,67232.175,91.227,8045.131,2168.779839
NE 42nd St & University Way NE,657368.541,72.235,24419.568,2618.998171
Oct,58544.928,91.96,6962.589,1582.295351
Sep,159363.849,72.235,8291.282,2124.85132
Aug,439459.764,98.823,24419.568,3161.581036
NE 47th St & 12th Ave NE,535960.587,116.105,27396.588,1927.915781
Oct,18807.818,122.34,2559.862,482.2517436
Sep,198478.46,116.105,13214.538,1908.446731
Aug,318674.309,156.62,27396.588,2360.550437
Occidental Park / Occidental Ave S & S Washington St,889313.82,63.008,26732.602,1302.070015
Sep,300716.811,108.173,9148.319,1222.426061
Aug,458643.082,63.008,16660.223,1306.675447
Oct,129953.927,261.954,26732.602,1511.092174
PATH / 9th Ave & Westlake Ave,559688.396,60.994,23827.006,696.9967572
Oct,49290.377,145.976,2330.244,535.7649674
Sep,193456.262,60.994,21025.075,624.0524581
Aug,316941.757,104.794,23827.006,790.3784464
Pier 69 / Alaskan Way & Clay St,3680602.752,61.937,25300.791,2068.916668
Oct,315795.129,269.23,14307.313,1825.40537
Aug,1800856.903,70.997,23929.208,2067.573941
Sep,1563950.72,61.937,25300.791,2127.824109
Pine St & 9th Ave,565391.966,89.451,16411.943,825.3897314
Oct,63126.57,89.451,5254.954,725.5927586
Aug,239930.098,116.155,14636.122,749.7815563
Sep,262335.298,101.679,16411.943,943.6521511
REI / Yale Ave N & John St,758283.228,64.99,14736.462,817.9970097
Sep,227917.381,64.99,9631.63,696.9950489
Aug,424633.283,77.022,12097.413,854.3929235
Oct,105732.564,89.041,14736.462,1026.529748
Republican St & Westlake Ave N,587615.468,85.848,17568.79,845.489882
Oct,74447.976,173.552,5901.1,737.1086733
Aug,290944.097,85.848,15502.022,906.3679034
Sep,222223.395,113.051,17568.79,814.0051099
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,1643541.303,63.381,28149.155,2165.403561
Oct,177766.013,75.756,17865.206,2194.642136
Aug,942262.768,63.381,25223.622,2166.121306
Sep,523512.522,79.17,28149.155,2154.372519
Seattle University / E Columbia St & 12th Ave,550343.888,138.56,27852.582,1085.490903
Aug,185223.435,168.574,16875.571,899.1428883
Sep,231800.979,138.56,22539.76,1039.466274
Oct,133319.474,276.494,27852.582,1709.224026
Summit Ave & E Denny Way,475526.978,72.831,24581.622,666.0041709
Oct,62581.329,125.211,13053.677,632.1346364
Aug,214919.79,110.421,15633.71,673.7297492
Sep,198025.859,72.831,24581.622,669.0062804
Summit Ave E & E Republican St,537154.847,61.314,18220.371,721.9823212
Oct,62516.461,61.314,2287.266,529.8005169
Aug,253997.449,98.509,14199.987,798.7341164
Sep,220640.937,110.965,18220.371,716.3666786
Terry Ave & Stewart St,425707.207,70.998,7776.071,680.0434617
Sep,160851.541,70.998,5946.471,580.6914838
Oct,76752.258,82.472,7641.559,738.0024808
Aug,188103.408,77.959,7776.071,767.7690122
Union St & 4th Ave,842360.499,97.348,21276.403,1312.088005
Oct,49757.224,163.642,4410.443,777.456625
Aug,391234.559,97.348,14370.401,1218.799249
Sep,401368.716,107.515,21276.403,1561.745977
UW Engineering Library / E Stevens Way NE & Jefferson Rd,305229.705,166.12,27129.523,1474.539638
Aug,117530.083,185.754,5619.07,1088.241509
Oct,25398.584,175.618,7685.715,907.0922857
Sep,162301.038,166.12,27129.523,2285.930113
UW Intramural Activities Building,320410.661,82.888,23150.087,1610.103824
Oct,33553.908,87.07,6338.872,1157.03131
Aug,158063.272,103.815,10487.891,1534.594874
Sep,128793.481,82.888,23150.087,1922.290761
UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,452360.673,239.174,26107.748,2708.746545
Oct,25092.293,348.599,2372,1090.969261
Aug,213657.396,239.174,18351.69,2427.924955
Sep,213610.984,366.894,26107.748,3814.481857
UW McCarty Hall / Whitman Ct,74583.377,169.427,8970.147,1819.106756
Sep,5804.317,205.258,684.259,386.9544667
Oct,13659.46,306.121,2717.986,1241.769091
Aug,55119.6,169.427,8970.147,3674.64
Westlake Ave & 6th Ave,1143036.773,78.524,26024.244,1056.411066
Sep,373927.074,111.704,13262.141,981.4358898
Oct,206623.743,109.666,21164.763,1405.603694
Aug,562485.956,78.524,26024.244,1015.31761
Grand Total,42416800.6,60.438,28794.398,1223.232224
